location,title,subtitle,year_km_fuel,price,detail_url
Dusseldorp Den Haag,BMW i7,eDrive50 106 kWh,2025 | 10 km | Elektrisch,€ 147.217,https://www.dusseldorpbmw.nl/aanbod/bmw-i7-nieuw-edrive50-106-kwh-46560618
Dusseldorp Den Haag,BMW i7,eDrive50 106 kWh,2025 | 10 km | Elektrisch,€ 148.418,https://www.dusseldorpbmw.nl/aanbod/bmw-i7-nieuw-edrive50-106-kwh-46560686
Dusseldorp Den Haag,BMW i7,xDrive60 106 kWh,2025 | 10 km | Elektrisch,€ 170.634,https://www.dusseldorpbmw.nl/aanbod/bmw-i7-nieuw-xdrive60-106-kwh-46560855
Dusseldorp Oostzaan,BMW M2,Coupé,2025 | 10 km | Benzine,€ 144.429,https://www.dusseldorpbmw.nl/aanbod/bmw-m2-nieuw-coupe-46560967
Dusseldorp Hoorn,BMW iX,xDrive60 112 kWh,2025 | 10 km | Elektrisch,€ 125.437,https://www.dusseldorpbmw.nl/aanbod/bmw-ix-nieuw-xdrive60-112-kwh-46561040
Dusseldorp Den Haag,BMW iX2,eDrive20 67 kWh M Sport Edition,2025 | 10 km | Elektrisch,€ 57.552,https://www.dusseldorpbmw.nl/aanbod/bmw-ix2-nieuw-edrive20-67-kwh-m-sport-edition-46561247
Dusseldorp Den Haag,BMW iX2,eDrive20 67 kWh M Sport Edition,2025 | 10 km | Elektrisch,€ 57.552,https://www.dusseldorpbmw.nl/aanbod/bmw-ix2-nieuw-edrive20-67-kwh-m-sport-edition-46561258
Dusseldorp Den Haag,BMW iX2,eDrive20 67 kWh M Sport Edition,2025 | 10 km | Elektrisch,€ 57.552,https://www.dusseldorpbmw.nl/aanbod/bmw-ix2-nieuw-edrive20-67-kwh-m-sport-edition-46561268
Dusseldorp Den Haag,BMW iX2,eDrive20 67 kWh M Sport Edition,2025 | 10 km | Elektrisch,€ 57.552,https://www.dusseldorpbmw.nl/aanbod/bmw-ix2-nieuw-edrive20-67-kwh-m-sport-edition-46561320
Dusseldorp Den Haag,BMW iX2,eDrive20 67 kWh M Sport Edition,2025 | 10 km | Elektrisch,€ 57.552,https://www.dusseldorpbmw.nl/aanbod/bmw-ix2-nieuw-edrive20-67-kwh-m-sport-edition-46561344
