Title,Subtitle,Year,Mileage,Fuel Type,Price,Monthly Price,Details Link,Location
BMW i5,eDrive40 | M Sportpakket | Innovation Pack | Travel Pack | Comfort Pack,2025,2.500 km,Elektrisch,"96.967,-","1.096,-",https://www.ekris.nl/bmw/p/45410334/bmw-i5-edrive40-45410334,Ekris Maastricht
BMW 4 Serie,Gran Coupe 430i | High Executive | M Sportpakket Pro | Safety Pack | Personal CoPilot Pack,2025,2.500 km,Benzine,"97.311,-","1.281,-",https://www.ekris.nl/bmw/p/45410041/bmw-4-serie-gran-coupe-430i-45410041,Ekris Maastricht
BMW i5,Sedan eDrive40 M Sportpakket 20'' / Panoramadak / Harman Kardon / Stoelventilatie / Trekhaak,2025,4.300 km,Elektrisch,"97.394,-","1.101,-",https://www.ekris.nl/bmw/p/44745219/bmw-i5-sedan-edrive40-44745219,Ekris Veenendaal
BMW 2 Serie,M235 xDrive Gran Coupé | M Sportpakket Pro | Innovation Pack | Extra Voordeel,2025,5 km,Benzine,"97.447,-","1.283,-",https://www.ekris.nl/bmw/p/45677411/bmw-2-serie-m235-xdrive-gran-coupe-45677411,Ekris Flevoland
BMW I5 EDRIVE40,M Sport | Panoramadak / Comfortstoelen / Head-up / Trekhaak / Harman Kardon / Parking Assistant Professional / Stoelventilatie + Stoelverwarming Voor & Achter,2025,3.500 km,Elektrisch,"97.450,-","1.101,-",https://www.ekris.nl/bmw/p/46295554/bmw-i5-edrive40-46295554,Ekris Veenendaal
BMW 2 Serie,Gran Coupé M235 xDrive | M Sportpakket Pro | Innovation Pack | Extra Voordeel,2025,0 km,Benzine,"97.739,-","1.286,-",https://www.ekris.nl/bmw/p/43615434/bmw-2-serie-gran-coupe-m235-xdrive-43615434,Ekris Maastricht
BMW X5,xDrive50e M Sportpakket Pro | Travel Pack | Innovation Pack | Comfort Pack | Integral Active Steering | Trekhaak | Panoramadak | Driving Assistant Professional | Harman Kardon | 21'',2024,34.457 km,Hybride benzine,"97.900,-","1.333,-",https://www.ekris.nl/bmw/p/47051293/bmw-x5-xdrive50e-47051293,Ekris Utrecht
BMW 5 Serie,Touring 550e xDrive M Sportpakket | Innovation Pack | Travel Pack | Comfort Pack | Trekhaak | Panoramadak | Driving Assistant Professional | Harman-Kardon | 20'',2025,9.785 km,Hybride benzine,"97.950,-","1.289,-",https://www.ekris.nl/bmw/p/44516436/bmw-5-serie-touring-550e-xdrive-44516436,Ekris Utrecht
BMW X5,xDrive50e M Sportpakket Pro/ 21 inch LM/ Comfort Access/ Elektrische Trekhaak/ panoramadak/ Stoelventilatie/ Comfortstoelen/ Harman-Kardon/ Massagefunctie voorstoelen,2024,39.826 km,Hybride benzine,"98.900,-","1.347,-",https://www.ekris.nl/bmw/p/46988048/bmw-x5-xdrive50e-46988048,Ekris Flevoland
BMW i5,eDrive40 M Sportpakket 20'' / Panoramadak / Comfortstoelen / Harman Kardon / Trekhaak,2025,6.731 km,Elektrisch,"98.950,-","1.118,-",https://www.ekris.nl/bmw/p/46295801/bmw-i5-edrive40-46295801,Ekris Veenendaal
