Title,Subtitle,Year,Mileage,Fuel Type,Price,Monthly Price,Details Link,Location
BMW i3,S iPerformance 94Ah | Comfort Pack Advanced | Navi Prof. | Camera | Stoelverwarming | DAB+ | 20'' LMV,2018,102.606 km,Elektrisch,"16.900,-","199,-",https://www.ekris.nl/bmw/p/45854928/bmw-i3-s-iperformance-94ah-45854928,Ekris Nijkerk
BMW i3,S 94Ah 20'' / Comfort pack advanced / Achteruitrijcamera / Warmtepomp / Driving Assistant Plus,2018,116.199 km,Elektrisch,"17.450,-","206,-",https://www.ekris.nl/bmw/p/45406875/bmw-i3-s-45406875,Ekris Veenendaal
BMW 1 Serie,3-deurs 116i | Executive | M Sportpakket | Navigatie | LED | Climate Control | Park Distance Control | Hi-Fi | Sportstoelen | Stoelverwarming | 18'' LMV,2018,104.808 km,Benzine,"17.900,-","244,-",https://www.ekris.nl/bmw/p/46244388/bmw-1-serie-3-deurs-116i-46244388,Ekris Nijkerk
BMW i3,Sportpakket | Comfort pack advanced | Alarmsysteem klasse 3 | 20 inch LM Dubbelspaak | Extra getint glas achter,2019,105.747 km,Elektrisch,"17.900,-","211,-",https://www.ekris.nl/bmw/p/46939859/bmw-i3-46939859,Ekris Zeist
BMW 1 Serie,Cabrio 118i M Sport Edition | Windscherm | Sportstoelen | Stoelverwarming | Navigatie Professional | 18'',2014,81.014 km,Benzine,"17.950,-","244,-",https://www.ekris.nl/bmw/p/47137449/bmw-1-serie-cabrio-118i-47137449,Ekris Utrecht
BMW i3,120Ah Comfort pack advanced | 19 inch lichtmetalen i light wielen sterspaak (styling 427) | Snellaadpakket | Regen- en lichtsensor,2019,25.253 km,Elektrisch,"18.400,-","217,-",https://www.ekris.nl/bmw/p/43762809/bmw-i3-120ah-43762809,Ekris Zeist
BMW i3,120Ah | Executive Edition | Comfort pack advanced,2019,93.298 km,Elektrisch,"18.900,-","223,-",https://www.ekris.nl/bmw/p/46954911/bmw-i3-120ah-46954911,Ekris Heerlen
BMW i3,120Ah | Dark Shadow Edition | Sportpakket | 20 inch | Stoelverwarming | Navigatiesysteem Professional | Achteruitrijcamera,2020,69.085 km,Elektrisch,"19.695,-","232,-",https://www.ekris.nl/bmw/p/42453658/bmw-i3-120ah-42453658,Ekris Arnhem
BMW 2 Serie,Gran Tourer 216i 7p. | LED | HUD | Trekhaak | Derde zitrij | Sportstoelen | DAB | Hifi speakers | Alu 17 inch,2022,123.000 km,Benzine,"19.900,-","271,-",https://www.ekris.nl/bmw/p/46517274/bmw-2-serie-gran-tourer-216i-7p-46517274,Ekris Heerenveen
BMW 2 Serie,Gran Tourer 216i 7p. | LED | Leder | HUD | Trekhaak | Derde zitrij | Stoelverwarming | DAB | Hifi speakers | Alu 17 inch,2022,120.000 km,Benzine,"19.900,-","271,-",https://www.ekris.nl/bmw/p/46517480/bmw-2-serie-gran-tourer-216i-7p-46517480,Ekris Heerenveen
BMW i3,Dark Shadow Edition 120Ah 42 kWh Sportpakket/ Achteruitrijcamera/ Stoelverwarming/ Cruise Control/ 20 inch LM,2021,91.279 km,Elektrisch,"19.900,-","235,-",https://www.ekris.nl/bmw/p/46987947/bmw-i3-dark-shadow-edition-120ah-42-kwh-46987947,Ekris Flevoland
BMW i3,"Executive Edition 120Ah | Sportpakket | Warmtepomp | Achteruitrijcamera | Navigatiesysteem Professional | 20""",2020,74.848 km,Elektrisch,"20.695,-","244,-",https://www.ekris.nl/bmw/p/44627387/bmw-i3-44627387,Ekris Utrecht
BMW 2 Serie,Gran Tourer 216i 7p. | LED | HUD | Derde zitrij | Stoelverwarming | Clima | DAB | Alu 16 inch,2020,88.000 km,Benzine,"20.900,-","285,-",https://www.ekris.nl/bmw/p/44433670/bmw-2-serie-gran-tourer-216i-7p-44433670,Ekris Heerenveen
BMW 2 Serie,Gran Tourer 216i 7p. Executive Edition null,2020,64.323 km,Benzine,"20.900,-","285,-",https://www.ekris.nl/bmw/p/46275721/bmw-2-serie-gran-tourer-216i-7p-executive-edition-46275721,Ekris Groningen
BMW 2 Serie,Gran Tourer 216i High Executive Luxury Line 17'' / Trekhaak / Derde zitrij / Head-Up Display,2022,90.014 km,Benzine,"20.900,-","285,-",https://www.ekris.nl/bmw/p/46976699/bmw-2-serie-gran-tourer-216i-46976699,Ekris Veenendaal
BMW X1,sDrive20i Centennial High Executive | Leder | Trekhaak | Head-Up | Comfortacces | Glazendak |,2017,136.189 km,Benzine,"20.945,-","285,-",https://www.ekris.nl/bmw/p/47084610/bmw-x1-sdrive20i-centennial-high-executive-47084610,Ekris Groningen
BMW 1 Serie,5-deurs 118i | Executive Edition | Live Cockpit Professional,2020,79.041 km,Benzine,"21.750,-","296,-",https://www.ekris.nl/bmw/p/45140776/bmw-1-serie-5-deurs-118i-45140776,Ekris Maastricht
BMW 2 Serie,Active Tourer 218i | High Executive | Luxury Line | Parking Pack | Trekhaak | Sportstoelen | Head-Up | Getint Glas | Hi-Fi | Verwarmbare Voorstoelen | 17'' LMV,2019,96.344 km,Benzine,"21.900,-","298,-",https://www.ekris.nl/bmw/p/45463493/bmw-2-serie-active-tourer-218i-45463493,Ekris Nijkerk
BMW 1-serie,"118i | Executive | M Sportpakket | Trekhaak | Led | Apple Carplay | 17"" LMV",2020,97.576 km,Benzine,"21.900,-","298,-",https://www.ekris.nl/bmw/p/44937113/bmw-1-serie-118i-44937113,Ekris Nijkerk
BMW 2 Serie,Active Tourer 218i Executive M-Sport pakket/ Sportstoelen/ Cruise control/ Climate control/ Navigatie,2019,106.522 km,Benzine,"21.950,-","299,-",https://www.ekris.nl/bmw/p/45402399/bmw-2-serie-active-tourer-218i-executive-45402399,Ekris Flevoland
BMW 3 Serie,Touring 318i High Executive M-Sportpakket / Adaptief Onderstel / Elektrische Stoelen / Surround View / Head Up Display / Harman Kardon / Panoramadak / Trekhaak / 19'' /,2017,90.247 km,Benzine,"21.950,-","299,-",https://www.ekris.nl/bmw/p/47113097/bmw-3-serie-touring-318i-high-executive-47113097,Ekris Flevoland
BMW 1-serie,118i | Business Edition Plus | Parking Pack | Voorstoelen Verwarmd,2021,95.728 km,Benzine,"22.400,-","305,-",https://www.ekris.nl/bmw/p/44295597/bmw-1-serie-118i-44295597,Ekris Heerlen
BMW 2 Serie,"Gran Tourer 216i 7p. Executive | Sport Line | Trekhaak | Navigatiesysteem Plus | HIFI | 17""",2022,81.398 km,Benzine,"22.900,-","312,-",https://www.ekris.nl/bmw/p/45942209/bmw-2-serie-gran-tourer-216i-7p-45942209,Ekris Utrecht
BMW 1 Serie,3-deurs 118i | M-Sportpakket | LED | Leder | Navigatie | Schuifdak | Sportstoelen | Keyles go | DAB | Hifi speakers | Alu 18 inch,2019,49.000 km,Benzine,"22.900,-","312,-",https://www.ekris.nl/bmw/p/46197995/bmw-1-serie-3-deurs-118i-46197995,Ekris Heerenveen
BMW 2 Serie,Gran Coupé High Executive | Panoramadak | Achteruitrijcamera | Elektrisch verwarmde voorstoelen | Driving Assistant | Parking Assistant | LED,2020,103.987 km,Benzine,"22.900,-","312,-",https://www.ekris.nl/bmw/p/46950878/bmw-2-serie-gran-coupe-46950878,Ekris Utrecht
BMW 1-serie,118i Executive Edition Sport Line/ Sportstoelen/ Cruise Control/ Parkeersensoren,2020,24.042 km,Benzine,"22.900,-","312,-",https://www.ekris.nl/bmw/p/47052374/bmw-1-serie-118i-executive-edition-47052374,Ekris Flevoland
BMW 1-serie,118i Executive Edition Sport Line | Audio Media Pack | Parkeersensoren | Climate Control | LED | HiFi,2020,55.579 km,Benzine,"22.900,-","312,-",https://www.ekris.nl/bmw/p/46650810/bmw-1-serie-118i-executive-edition-46650810,Ekris Assen
BMW 1 Serie,5-deurs 118i Executive | Sportline | Sportstoelen | DAB | HiFi | 17'',2021,44.841 km,Benzine,"22.950,-","313,-",https://www.ekris.nl/bmw/p/47113287/bmw-1-serie-5-deurs-118i-47113287,Ekris Utrecht
BMW 3 Serie,Touring 318i | Executive | M Sport | Panoramadak | Stoelverwarming | LED | Cruise Control | 18'',2019,113.243 km,Benzine,"22.995,-","313,-",https://www.ekris.nl/bmw/p/45866418/bmw-3-serie-touring-318i-45866418,Ekris Arnhem
BMW i3,S 120Ah 42 kWh RoadStyle Edition null,2020,81.054 km,Elektrisch,"23.450,-","277,-",https://www.ekris.nl/bmw/p/47148920/bmw-i3-s-120ah-42-kwh-roadstyle-edition-47148920,Ekris Veenendaal
BMW 2 Serie,Gran Coupé 218i Business Edition | Luxury Line | Sportstoelen | HiFi |,2021,100.906 km,Benzine,"23.900,-","325,-",https://www.ekris.nl/bmw/p/46609226/bmw-2-serie-gran-coupe-218i-business-edition-46609226,Ekris Groningen
BMW 3 Serie,Sedan 320i | LED | Navigatie | Sportstoelen | Stoelverwarming | Keyles go | DAB | Hifi speakers | Alu 18 inch,2019,145.000 km,Benzine,"23.900,-","325,-",https://www.ekris.nl/bmw/p/46717175/bmw-3-serie-sedan-320i-46717175,Ekris Heerenveen
BMW 2 Serie,Gran Coupé 218i | Executive Edition | Sport Line,2020,86.562 km,Benzine,"23.900,-","325,-",https://www.ekris.nl/bmw/p/44912555/bmw-2-serie-gran-coupe-218i-44912555,Ekris Heerlen
BMW 1 Serie,5-deurs 118i | M-Sportpakket | LED | Navigatie | Schuifdak | Sportstoelen | DAB | Hifi speakers | Alu 17 inch,2021,79.000 km,Benzine,"23.900,-","325,-",https://www.ekris.nl/bmw/p/44985488/bmw-1-serie-5-deurs-118i-44985488,Ekris Heerenveen
BMW 2 Serie,Gran Tourer 216i 7p. Business Edition Sportline | 7-Persoon | Trekhaak | Head Up,2022,66.396 km,Benzine,"23.900,-","325,-",https://www.ekris.nl/bmw/p/46447783/bmw-2-serie-gran-tourer-216i-7p-business-edition-46447783,Ekris Assen
BMW 2 Serie,Gran Tourer 216i 7p. Business Edition Plus Luxury Line / trekhaak / Achteruitrijcamera / Head Up Display /,2022,71.140 km,Benzine,"23.900,-","325,-",https://www.ekris.nl/bmw/p/46534991/bmw-2-serie-gran-tourer-216i-7p-business-edition-plus-46534991,Ekris Flevoland
BMW 1-serie,"118i Executive Edition M-Sportpakket/ Head-Up/ HiFi/ Cruise Control/ panoramadak/ Achteruitrijcamera/M sportstoelen/ 18"" LMV",2019,133.118 km,Benzine,"23.900,-","325,-",https://www.ekris.nl/bmw/p/46780621/bmw-1-serie-118i-executive-edition-46780621,Ekris Flevoland
BMW 3-serie,320i Edition Sport Line Shadow High Executive | Glazendak | 19 inch |,2019,120.639 km,Benzine,"23.900,-","325,-",https://www.ekris.nl/bmw/p/46824821/bmw-3-serie-320i-edition-sport-line-shadow-high-executive-46824821,Ekris Groningen
BMW 1-serie,118i Executive Edition Parkeersensoren/ Carplay/ Cruise control/ Navigatie,2021,76.390 km,Benzine,"23.900,-","325,-",https://www.ekris.nl/bmw/p/47052550/bmw-1-serie-118i-executive-edition-47052550,Ekris Flevoland
BMW X1,xDrive20i High Executive | 4x4 | Trekhaak | lederen Sportstoelen | Head-Up Display | LED-koplampen | Achteruitrijcamera | Cruise Control | verwarmde voorstoelen,2018,104.568 km,Benzine,"23.900,-","325,-",https://www.ekris.nl/bmw/p/47113298/bmw-x1-xdrive20i-high-executive-47113298,Ekris Assen
BMW 1-serie,118i High Executive Edition | Stoelverwarming | Cruise Control | NAVI |,2020,79.259 km,Benzine,"24.450,-","333,-",https://www.ekris.nl/bmw/p/45965613/bmw-1-serie-118i-high-executive-edition-45965613,Ekris Groningen
BMW X1,sDrive18i High Executive M-Sportpakket / Stoelverwarming / Achteruitrij camera / Electronic damping control,2018,106.909 km,Benzine,"24.695,-","336,-",https://www.ekris.nl/bmw/p/41866771/bmw-x1-sdrive18i-high-executive-41866771,Ekris Flevoland
BMW X1,sDrive20i | High Executive | Parking Pack | Harman-Kardon | Stoelverwarming | Head-Up Display | Elektrische Achterklep | Achteruitrijcamera | 19'' | Trekhaak,2018,130.050 km,Benzine,"24.850,-","338,-",https://www.ekris.nl/bmw/p/46683432/bmw-x1-sdrive20i-46683432,Ekris Arnhem
BMW 1 Serie,118i High Executive Sport Line 18'' / HiFi / Verwarmde voorstoelen / Sportstoelen,2020,96.057 km,Benzine,"24.900,-","339,-",https://www.ekris.nl/bmw/p/45441521/bmw-1-serie-118i-45441521,Ekris Veenendaal
BMW 1 Serie,5-deurs 118i | M-Sportpakket | LED | Leder | Navigatie | Stoelverwarming | Sportstoelen | Clima | DAB | Alu 18 inch,2021,96.400 km,Benzine,"24.900,-","339,-",https://www.ekris.nl/bmw/p/46257441/bmw-1-serie-5-deurs-118i-46257441,Ekris Heerenveen
BMW 1-serie,118i High Executive M Sport | Trekhaak | Harman Kardon | Camera | Getint glas af-fabriek | Climate Control | LED,2020,66.889 km,Benzine,"24.900,-","339,-",https://www.ekris.nl/bmw/p/45807085/bmw-1-serie-118i-high-executive-45807085,Ekris Assen
BMW 3 Serie,Sedan 318d | LED | Navigatie | Sportstoelen | Schuifdak | Stoelverwarming | Hifi speakers | Alu 17 inch,2020,135.000 km,Diesel,"24.900,-","339,-",https://www.ekris.nl/bmw/p/46847259/bmw-3-serie-sedan-318d-46847259,Ekris Heerenveen
BMW 2 Serie,Gran Coupé 218i | High Executive Edition | Luxury Line | Voorstoelen Verwarmd,2020,98.512 km,Benzine,"24.900,-","339,-",https://www.ekris.nl/bmw/p/44407116/bmw-2-serie-gran-coupe-218i-44407116,Ekris Heerlen
BMW X2,sDrive18i | LED | Leder | HUD | Trekhaak | Sportstoelen | Stoelverwarming | Hifi speakers | Alu 17 inch,2018,116.000 km,Benzine,"24.900,-","339,-",https://www.ekris.nl/bmw/p/46997765/bmw-x2-sdrive18i-46997765,Ekris Heerenveen
BMW 2 Serie,Gran Coupé 218i High Executive | M Sport | Voorstoelen Verwarmd | Stuurwiel Verwarmd | HiFi,2021,81.077 km,Benzine,"24.900,-","339,-",https://www.ekris.nl/bmw/p/46950821/bmw-2-serie-gran-coupe-218i-high-executive-46950821,Ekris Heerlen
BMW 1 Serie,5-deurs 118i | LED | Navigatie | Sportstoelen | Clima | Cruise controle | PDC | DAB | Alu 17 inch,2021,72.000 km,Benzine,"24.900,-","339,-",https://www.ekris.nl/bmw/p/46803550/bmw-1-serie-5-deurs-118i-46803550,Ekris Heerenveen
BMW 1-serie,118d Executive Edition | Stoelverwarming | Carplay |,2020,103.090 km,Diesel,"24.900,-","339,-",https://www.ekris.nl/bmw/p/44626534/bmw-1-serie-118d-executive-edition-44626534,Ekris Groningen
BMW 4 Serie,Gran Coupé 430i xDrive Centennial High Executive M Sportpakket | Trekhaak | Stoelverwarming | Navigatie Professional | Xenon,2017,139.624 km,Benzine,"24.950,-","340,-",https://www.ekris.nl/bmw/p/46708287/bmw-4-serie-gran-coupe-430i-xdrive-centennial-high-executive-46708287,Ekris Assen
BMW 4 Serie,Gran Coupé 418i High Executive | M-Sportpakket | Schuif/kanteldak | Head Up | Leder Dashboard,2019,111.143 km,Benzine,"24.950,-","340,-",https://www.ekris.nl/bmw/p/46338917/bmw-4-serie-gran-coupe-418i-high-executive-46338917,Ekris Assen
BMW i3 S,120Ah Navigatiesysteem Professional | 20 inch | Warmtepomp,2022,23.498 km,Elektrisch,"24.995,-","295,-",https://www.ekris.nl/bmw/p/41428206/bmw-i3-s-120ah-41428206,Ekris Arnhem
BMW 1-serie,118i High Executive | M-Sportpakket | Schuifdak null,2020,120.555 km,Benzine,"25.450,-","347,-",https://www.ekris.nl/bmw/p/47109086/bmw-1-serie-118i-high-executive-m-sportpakket-schuifdak-47109086,Ekris Assen
BMW 2 Serie,Gran Coupé 218i High Executive | Parking Pack | HiFi System | Model Luxury Line | Parking Assistant | Achteruitrijcamera,2022,104.418 km,Benzine,"25.900,-","353,-",https://www.ekris.nl/bmw/p/46475712/bmw-2-serie-gran-coupe-218i-46475712,Ekris Zeist
BMW 2 Serie,Gran Coupé 218i Business Edition M Sportpakket | Panoramadak | Stoelverwarming | HiFi Sound,2021,126.807 km,Benzine,"25.900,-","353,-",https://www.ekris.nl/bmw/p/46379585/bmw-2-serie-gran-coupe-218i-business-edition-46379585,Ekris Assen
BMW 4 Serie,Gran Coupe 418i | M-Sportpakket | LED | Leder | Navigatie | Sportstoelen | Stoelverwarming | DAB | Hifi speakers | Alu 19 inch,2019,59.000 km,Benzine,"25.900,-","353,-",https://www.ekris.nl/bmw/p/45734903/bmw-4-serie-gran-coupe-418i-45734903,Ekris Heerenveen
BMW 1 Serie,5-deurs 116i | M-Sportpakket | LED | Leder | Navigatie | Schuifdak | Stoelverwarming | DAB | Hifi speakers | Alu 18 inch,2021,99.000 km,Benzine,"25.900,-","353,-",https://www.ekris.nl/bmw/p/47089200/bmw-1-serie-5-deurs-116i-47089200,Ekris Heerenveen
BMW 2 Serie,Active Tourer 218i | High Executive | Luxury Line | Head-Up | Hi-Fi | Stoelverwarming | Stuurwielverwarming | Climate Control | Navi Plus | 17'' LMV,2021,55.510 km,Benzine,"25.950,-","353,-",https://www.ekris.nl/bmw/p/46958077/bmw-2-serie-active-tourer-218i-46958077,Ekris Nijkerk
BMW 2 Serie,"Gran Coupé 218i High Executive | Luxury Line | Head-Up Display | Elek. Stoelen met Memory | Harman/Kardon | 17""",2021,98.045 km,Benzine,"26.695,-","364,-",https://www.ekris.nl/bmw/p/44627468/bmw-2-serie-gran-coupe-218i-44627468,Ekris Utrecht
BMW X2,xDrive25e High Executive | LED | Leder | HUD | Stoelverwarming | Clima | PDC | DAB | Alu 17 inch,2021,95.000 km,Hybride benzine,"26.900,-","366,-",https://www.ekris.nl/bmw/p/39472134/bmw-x2-xdrive25e-high-executive-39472134,Ekris Heerenveen
BMW 3 Serie,Sedan 318d | Executive Edition | Sport Line | Trekhaak Elektrisch | Parkeersensoren Voor en Achter,2021,113.065 km,Diesel,"26.900,-","366,-",https://www.ekris.nl/bmw/p/46668925/bmw-3-serie-sedan-318d-46668925,Ekris Heerlen
BMW 5 Serie,Sedan 530e | LED | Leder | HUD | Stoelverwarming | Chrome line | Hifi speakers | Alu 18 inch,2019,120.000 km,Hybride benzine,"26.900,-","366,-",https://www.ekris.nl/bmw/p/46557329/bmw-5-serie-sedan-530e-46557329,Ekris Heerenveen
BMW 1-serie,5-deurs 118i | Executive | M Sportpakket | Climate Control | Apple Carplay | Parkeersensoren | Sportstoelen | Uitgebreide Shadowline | 17'' LMV,2023,70.462 km,Benzine,"26.900,-","366,-",https://www.ekris.nl/bmw/p/46800834/bmw-1-serie-5-deurs-118i-46800834,Ekris Nijkerk
BMW 1 Serie,5-deurs 118i | Model M Sport | Parking Pack | Panoramadak,2020,91.104 km,Benzine,"26.900,-","366,-",https://www.ekris.nl/bmw/p/45434702/bmw-1-serie-5-deurs-118i-45434702,Ekris Heerlen
BMW 2 Serie,Active Tourer 218i M sportpakket,2022,121.968 km,Benzine,"26.900,-","366,-",https://www.ekris.nl/bmw/p/44320375/bmw-2-serie-active-tourer-218i-44320375,Ekris Maastricht
BMW 3 Serie,Touring 318i Executive Edition null,2020,96.316 km,Benzine,"26.900,-","366,-",https://www.ekris.nl/bmw/p/46425860/bmw-3-serie-touring-318i-executive-edition-46425860,Ekris Flevoland
BMW 3 Serie,Touring 318i | LED | Leder | Navigatie | Chrome line | Stoelverwarming | DAB | Alu 18 inch,2021,87.000 km,Benzine,"26.900,-","366,-",https://www.ekris.nl/bmw/p/43904036/bmw-3-serie-touring-318i-43904036,Ekris Heerenveen
BMW 1-serie,118i Business Edition M-Sport/ Achteruitrijcamera/ Cruise Control/ HiFi/ Sportstoelen,2021,38.158 km,Benzine,"26.900,-","366,-",https://www.ekris.nl/bmw/p/46933686/bmw-1-serie-118i-business-edition-46933686,Ekris Flevoland
BMW 1-serie,118i | Executive | Sport Line | Panodak | Achteruitrijcamera | Stuurwiel Verwarming | Apple Carplay | HiFi | 18'' LMV,2022,42.875 km,Benzine,"26.900,-","366,-",https://www.ekris.nl/bmw/p/47076629/bmw-1-serie-118i-47076629,Ekris Nijkerk
BMW 1 Serie,5-deurs 118i | Executive | M Sportpakket | Apple Carplay | LED | 17'' LMV,2023,62.221 km,Benzine,"27.450,-","374,-",https://www.ekris.nl/bmw/p/46841334/bmw-1-serie-5-deurs-118i-46841334,Ekris Maastricht
BMW i3,"S 120Ah Warmtepomp | Navigatiesysteem | DC-snelladen | Achteruitrijcamera | 20""",2022,20.910 km,Elektrisch,"27.695,-","327,-",https://www.ekris.nl/bmw/p/44448558/bmw-i3-s-120ah-44448558,Ekris Utrecht
BMW 1-serie,116i Sportstoelen | LED koplampen | Sportline,2024,36.694 km,Benzine,"27.900,-","380,-",https://www.ekris.nl/bmw/p/46519691/bmw-1-serie-116i-46519691,Ekris Assen
BMW 1 Serie,5-deurs 118i | Executive | M Sportpakket | Climate Control | Apple Carplay | Parkeersensoren | Sportstoelen | Uitgebreide Shadowline | 17'' LMV,2023,49.982 km,Benzine,"27.900,-","380,-",https://www.ekris.nl/bmw/p/46800826/bmw-1-serie-5-deurs-118i-46800826,Ekris Nijkerk
BMW 1 Serie,5-deurs 118i | Model M Sport | M Shadow Line uitgebreid | Parkeersensoren voor én achter | Navigatiesysteem | LED-koplampen | Climate Control,2023,46.144 km,Benzine,"27.900,-","380,-",https://www.ekris.nl/bmw/p/46914306/bmw-1-serie-5-deurs-118i-46914306,Ekris Heerlen
BMW 1-serie,120i Business Edition Plus M-Sportpakket | Stoelverwarming | LED | Camera,2021,91.167 km,Benzine,"27.900,-","380,-",https://www.ekris.nl/bmw/p/46778433/bmw-1-serie-120i-business-edition-plus-46778433,Ekris Assen
BMW 1 Serie,5-deurs 118i | M-Sportpakket | LED | Navigatie | Sportstoelen | Shadow line | DAB | Alu 17 inch,2023,49.000 km,Benzine,"27.900,-","380,-",https://www.ekris.nl/bmw/p/46826487/bmw-1-serie-5-deurs-118i-46826487,Ekris Heerenveen
BMW 1 Serie,118i | Executive | M Sportpakket | Apple Carplay | LED | 17'' LMV,2023,53.098 km,Benzine,"27.950,-","381,-",https://www.ekris.nl/bmw/p/46801385/bmw-1-serie-118i-46801385,Ekris Arnhem
BMW i3,S 120Ah 42 kWh 20 inch/ Cruise Control/ Comfort pakket/ Navigatie,2022,20.732 km,Elektrisch,"27.950,-","330,-",https://www.ekris.nl/bmw/p/44413566/bmw-i3-s-120ah-42-kwh-44413566,Ekris Flevoland
BMW 5 Serie,Sedan 530e | High Executive | M Sportpakket | Trekhaak | Comfort Stoelen | Achteruitrijcamera | 18'' LMV,2018,125.114 km,Hybride benzine,"27.950,-","381,-",https://www.ekris.nl/bmw/p/46738292/bmw-5-serie-sedan-530e-46738292,Ekris Nijkerk
BMW X2,sDrive20i M Sportpakket X 19'' / Trekhaak / Driving Assistant / HiFi System,2019,98.853 km,Benzine,"27.950,-","381,-",https://www.ekris.nl/bmw/p/43863402/bmw-x2-sdrive20i-43863402,Ekris Veenendaal
BMW X2,sDrive20i M Sportpakket 20'' / Head-Up Display / Harman Kardon / Active Cruise Control,2018,120.100 km,Benzine,"27.950,-","381,-",https://www.ekris.nl/bmw/p/47033562/bmw-x2-sdrive20i-47033562,Ekris Veenendaal
BMW 2 Serie,Gran Coupé 218i | M Sport | Stoelverwarming | Isofix | Parkeersensoren | LED Koplampen | 18'',2021,39.672 km,Benzine,"27.995,-","381,-",https://www.ekris.nl/bmw/p/47049264/bmw-2-serie-gran-coupe-218i-47049264,Ekris Arnhem
BMW 2 Serie,Gran Coupé 218i Model M Sport | High Executive | Elektrisch verwarmde voorstoelen | Parking Assistant | HiFi System,2021,108.511 km,Benzine,"28.400,-","387,-",https://www.ekris.nl/bmw/p/44263685/bmw-2-serie-gran-coupe-218i-44263685,Ekris Zeist
BMW 3 Serie,"Sedan 318i BMW Live Cockpit Professional | PDC | DAB | 16""",2021,81.642 km,Benzine,"28.695,-","391,-",https://www.ekris.nl/bmw/p/44753361/bmw-3-serie-sedan-318i-44753361,Ekris Utrecht
BMW X1,sDrive18i High Executive Edition | X Line| Panoramadak | Trekhaak | Head-Up | Achteruitrijcamera | 19inch,2020,110.777 km,Benzine,"28.900,-","394,-",https://www.ekris.nl/bmw/p/44382465/bmw-x1-sdrive18i-high-executive-edition-44382465,Ekris Assen
BMW 1 Serie,5-deurs 118i High Executive | M Sport Plus Pack | Audio Media Pack | Parking Pack | Panoramadak | LED Koplampen | DAB | HIFi | 19'',2021,73.101 km,Benzine,"28.900,-","394,-",https://www.ekris.nl/bmw/p/46059942/bmw-1-serie-5-deurs-118i-46059942,Ekris Utrecht
BMW 3 Serie,Sedan 330e eDrive LED | Leder | Navigatie | Stoelverwarming | Clima | DAB | Harman-kardon sound | Alu 18 inch,2020,82.000 km,Hybride benzine,"28.900,-","394,-",https://www.ekris.nl/bmw/p/46064187/bmw-3-serie-sedan-330e-edrive-46064187,Ekris Heerenveen
BMW 1 Serie,5-deurs 118i | Executive | M Sportpakket | Climate Control | Apple Carplay | Parkeersensoren | Sportstoelen | Uitgebreide Shadowline | 17'' LMV,2023,29.840 km,Benzine,"28.900,-","394,-",https://www.ekris.nl/bmw/p/46800730/bmw-1-serie-5-deurs-118i-46800730,Ekris Nijkerk
BMW 1 Serie,5-deurs 118i | LED | Leder | HUD | Schuifdak | Active cruise | Stoelverwarming | DAB | Hifi speakers | Alu 17 inch,2021,69.000 km,Benzine,"28.900,-","394,-",https://www.ekris.nl/bmw/p/46844392/bmw-1-serie-5-deurs-118i-46844392,Ekris Heerenveen
BMW 1 Serie,5-deurs 118i | LED | Navigatie | Schuifdak | Sportstoelen | Stoelverwarming | Keyles go | DAB | Alu 17 inch,2023,69.000 km,Benzine,"28.900,-","394,-",https://www.ekris.nl/bmw/p/46669624/bmw-1-serie-5-deurs-118i-46669624,Ekris Heerenveen
BMW 1-serie,118i High Executive Edition | M-Sportpakket | HiFi Sound | 18inch | Stoelverwarming,2020,49.854 km,Benzine,"28.900,-","394,-",https://www.ekris.nl/bmw/p/43723719/bmw-1-serie-118i-high-executive-edition-43723719,Ekris Assen
BMW X1,sDrive20i | LED | HUD | Schuifdak | Sportstoelen | Stoelverwarming | Chrome line | DAB | Alu 18 inch,2020,85.000 km,Benzine,"28.900,-","394,-",https://www.ekris.nl/bmw/p/46821802/bmw-x1-sdrive20i-46821802,Ekris Heerenveen
BMW 2 Serie,Active Tourer 218i High Executive Edition M Sport pakket/ Panoramadak/ Head-Up/ Lederen bekleding/ Elektrische achterklep/ Achteruitrijcamera,2020,43.355 km,Benzine,"28.900,-","394,-",https://www.ekris.nl/bmw/p/45828319/bmw-2-serie-active-tourer-218i-high-executive-edition-45828319,Ekris Flevoland
BMW 5 Serie,Touring 520i | Executive | M Sportpakket | Trekhaak | Hi-Fi | Sportstoelen | Navi Prof. | Stoelverwarming | 18'' LMV,2017,78.850 km,Benzine,"28.900,-","394,-",https://www.ekris.nl/bmw/p/45796535/bmw-5-serie-touring-520i-45796535,Ekris Nijkerk
BMW 2 Serie,Gran Coupé 218i High Executive Edition M Sport | Glazen Panoramadak | M Sportstoelen | Stuur- en stoelverwarming | Harman Kardon | Head-Up Display,2020,85.704 km,Benzine,"28.900,-","394,-",https://www.ekris.nl/bmw/p/46650709/bmw-2-serie-gran-coupe-218i-high-executive-edition-46650709,Ekris Assen
BMW 3 Serie,Touring 320i Executive | Audio Media Pack | Parking Pack | Comfort Access | Elektrisch Verstelbare Voorstoelen | Parking Assistant | DAB | HiFi | 17'',2020,121.329 km,Benzine,"28.900,-","394,-",https://www.ekris.nl/bmw/p/45747110/bmw-3-serie-touring-320i-45747110,Ekris Utrecht
BMW 1 Serie,5-deurs 120i High Executive | Parking Pack | M Sportpakket,2021,100.654 km,Benzine,"29.750,-","405,-",https://www.ekris.nl/bmw/p/45963759/bmw-1-serie-5-deurs-120i-45963759,Ekris Maastricht
