Vehicle Name,Vehicle Subtitle,Vehicle Price,Vehicle Tags,Business Finance,Location
MINI Aceman,E JCW John Cooper Works,€ 46.900 v.a. € 482 p/m,2025 12.451 km Automaat Elektrisch,v.a. € 482 p/m,Van Poelgeest Amersfoort
BMW i5 Sedan,eDrive40 M Sport Edition,€ 89.896 v.a. € 794 p/m,2025 1 km Automaat Elektrisch,v.a. € 794 p/m,Van Poelgeest Hilversum
BMW iX1,eDrive20 67 kWh M Sport Edition,€ 49.984 v.a. € 441 p/m,2025 1 km Automaat Elektrisch,v.a. € 441 p/m,Van Poelgeest Noordwijk
BMW X7,xDrive40i High Executive l Driving. Ass. Plus,€ 77.899 v.a. € 968 p/m,2021 96.159 km Automaat Benzine,v.a. € 968 p/m,Van Poelgeest Amsterdam
BMW i4,eDrive40 M Sport Edition,€ 72.999 v.a. € 645 p/m,2025 1 km Automaat Elektrisch,v.a. € 645 p/m,Van Poelgeest Amstelveen
MINI Countryman Electric,E,€ 50.932 v.a. € 523 p/m,2025 8.999 km Automaat Elektrisch,v.a. € 523 p/m,Van Poelgeest Amsterdam
MINI Countryman,C,€ 56.614 v.a. € 500 p/m,2025 4.999 km Automaat Benzine,v.a. € 500 p/m,Van Poelgeest Amsterdam
BMW 4 Serie Coupé,420i,€ 77.048 v.a. € 791 p/m,2025 1 km Automaat Benzine,v.a. € 791 p/m,Van Poelgeest Amstelveen
BMW iX1,eDrive20,€ 47.900 v.a. € 423 p/m,2025 9.999 km Automaat Elektrisch,v.a. € 423 p/m,Van Poelgeest Amersfoort
BMW 2 Serie Gran Coupé,220 M Sport Design Edition,€ 44.900 v.a. € 461 p/m,2025 6.292 km Automaat Benzine,v.a. € 461 p/m,Van Poelgeest Naarden - PS Center
BMW X5,xDrive50e,€ 114.900 v.a. € 1179 p/m,2025 14.034 km Automaat Hybride,v.a. € 1179 p/m,Van Poelgeest Naarden - PS Center
BMW 5 Serie Touring,530e M Sport Edition,€ 87.839 v.a. € 839 p/m,2025 1 km Automaat Hybride,v.a. € 839 p/m,Van Poelgeest Alphen aan den Rijn
BMW 2 Serie Active Tourer,225e xDrive Innovation Pack M Sportpakket,€ 37.995 v.a. € 472 p/m,2022 42.856 km Automaat Hybride,v.a. € 472 p/m,Van Poelgeest Alphen aan den Rijn
BMW X1,xDrive25e,€ 76.233 v.a. € 728 p/m,2025 1 km Automaat Hybride,v.a. € 728 p/m,Van Poelgeest Naarden
BMW iX1,eDrive20 67 kWh,€ 52.900 v.a. € 467 p/m,2025 7.985 km Automaat Elektrisch,v.a. € 467 p/m,Van Poelgeest Naarden - PS Center
BMW 4 Serie Gran Coupé,420i,€ 67.900 v.a. € 698 p/m,2024 13.223 km Automaat Benzine,v.a. € 698 p/m,Van Poelgeest Amsterdam
MINI Cooper 3-deurs,Cooper Camden Edition,€ 32.450 v.a. € 333 p/m,2024 5.204 km Automaat Benzine,v.a. € 333 p/m,Van Poelgeest Amsterdam
MINI Countryman,C,€ 64.442 v.a. € 662 p/m,2025 4.999 km Automaat Benzine,v.a. € 662 p/m,Van Poelgeest Amsterdam
BMW M5 Sedan,,€ 144.900 v.a. € 1488 p/m,2024 14.307 km Automaat Hybride,v.a. € 1488 p/m,Van Poelgeest Amersfoort
BMW X3,30e xDrive,€ 76.900 v.a. € 789 p/m,2025 9.999 km Automaat Hybride,v.a. € 789 p/m,Van Poelgeest Amersfoort
BMW X3,xDrive30e M-Sport,€ 52.900 v.a. € 543 p/m,2022 59.436 km Automaat Hybride,v.a. € 543 p/m,Van Poelgeest Hilversum
