Vehicle Name,Vehicle Subtitle,Vehicle Price,Vehicle Tags,Business Finance,Location
MINI Countryman Electric,E John Cooper Works S 66.5 kWh,€ 44.750 v.a. € 460 p/m,2024 12.500 km Automaat Elektrisch,v.a. € 460 p/m,Van Poelgeest Noordwijk
BMW 1 Serie,120,€ 41.900 v.a. € 431 p/m,2024 13.000 km Automaat Benzine,v.a. € 431 p/m,Van Poelgeest Noordwijk
BMW 3 Serie Sedan,330e,€ 67.757 v.a. € 647 p/m,2025 1 km Automaat Hybride,v.a. € 647 p/m,Van Poelgeest Naarden
BMW iX1,eDrive20 67 kWh,€ 51.900 v.a. € 459 p/m,2025 6.000 km Automaat Elektrisch,v.a. € 459 p/m,Van Poelgeest Noordwijk
BMW i5 Sedan,eDrive40 84 kWh,€ 63.900 v.a. € 564 p/m,2024 22.647 km Automaat Elektrisch,v.a. € 564 p/m,Van Poelgeest Amstelveen
BMW 2 Serie Gran Coupé,220 M Sport Design Edition,€ 58.723 v.a. € 603 p/m,2025 4.204 km Automaat Benzine,v.a. € 603 p/m,Van Poelgeest Amstelveen
BMW 2 Serie Gran Coupé,220,€ 57.365 v.a. € 589 p/m,2025 1 km Automaat Benzine,v.a. € 589 p/m,Van Poelgeest Amersfoort
BMW X5,xDrive50e M-Sport Pro,€ 99.900 v.a. € 1026 p/m,2024 12.302 km Automaat Hybride,v.a. € 1026 p/m,Van Poelgeest Hilversum
BMW XM,PHEV 50e 30 kWh,€ 117.900 v.a. € 1211 p/m,2025 10.486 km Automaat Hybride,v.a. € 1211 p/m,Van Poelgeest Naarden - PS Center
BMW iX1,xDrive30 Launch Edition,€ 38.900 v.a. € 344 p/m,2023 57.795 km Automaat Elektrisch,v.a. € 344 p/m,Van Poelgeest Hilversum
BMW iX1,eDrive20 67 kWh M Sport Edition,€ 49.984 v.a. € 441 p/m,2025 1 km Automaat Elektrisch,v.a. € 441 p/m,Van Poelgeest Amersfoort
BMW X1,xDrive25e,€ 65.838 v.a. € 629 p/m,2025 1 km Automaat Hybride,v.a. € 629 p/m,Van Poelgeest Hilversum
MINI Aceman,SE Classic M,€ 35.900 v.a. € 446 p/m,2025 2.980 km Automaat Elektrisch,v.a. € 446 p/m,Van Poelgeest Hilversum
BMW Z4,sDrive20i M Sportpakket,€ 53.995 v.a. € 555 p/m,2024 21.651 km Automaat Benzine,v.a. € 555 p/m,Van Poelgeest Gouda
BMW iX1,eDrive20 67 kWh M Sport Edition,€ 49.984 v.a. € 441 p/m,2025 1 km Automaat Elektrisch,v.a. € 441 p/m,Van Poelgeest Amersfoort
BMW 2 Serie Active Tourer,225e xDrive Innovation Pack M Sportpakket,€ 42.995 v.a. € 441 p/m,2024 12.798 km Automaat Hybride,v.a. € 441 p/m,Van Poelgeest Alphen aan den Rijn
BMW 5 Serie Sedan,550e xDrive,€ 113.229 v.a. € 1163 p/m,2025 4.999 km Automaat Hybride,v.a. € 1163 p/m,Van Poelgeest Amsterdam
MINI Aceman,E John Cooper Works XL 42.5 kWh,€ 46.090 v.a. € 407 p/m,2025 1 km Automaat Elektrisch,v.a. € 407 p/m,Van Poelgeest Amstelveen
BMW X1,xDrive25e Innovation Pack M Sportpakket Pro,€ 66.607 v.a. € 683 p/m,2025 8.500 km Automaat Hybride,v.a. € 683 p/m,Van Poelgeest Alphen aan den Rijn
BMW i4,eDrive35 M Sport Edition M Sportpakket Pro,€ 65.995 v.a. € 583 p/m,2024 14.507 km Automaat Elektrisch,v.a. € 583 p/m,Van Poelgeest Alphen aan den Rijn
BMW 2 Serie Gran Coupé,220,€ 60.707 v.a. € 623 p/m,2025 1 km Automaat Benzine,v.a. € 623 p/m,Van Poelgeest Woerden
BMW 4 Serie Gran Coupé,420i,€ 80.918 v.a. € 831 p/m,2025 1 km Automaat Benzine,v.a. € 831 p/m,Van Poelgeest Amsterdam
BMW 2 Serie Coupé,220i,€ 74.749 v.a. € 768 p/m,2025 1 km Automaat Benzine,v.a. € 768 p/m,Van Poelgeest Amersfoort
BMW 5 Serie Touring,530e M Sport Edition,€ 90.179 v.a. € 861 p/m,2025 1 km Automaat Hybride,v.a. € 861 p/m,Van Poelgeest Amstelveen
BMW 4 Serie Gran Coupé,420i,€ 79.340 v.a. € 815 p/m,2025 4.001 km Automaat Benzine,v.a. € 815 p/m,Van Poelgeest Heemstede
BMW 3 Serie Touring,318i,€ 46.899 v.a. € 482 p/m,2024 31.318 km Automaat Benzine,v.a. € 482 p/m,Van Poelgeest Amsterdam
BMW i5 Touring,eDrive40 M Sport Edition,€ 99.180 v.a. € 876 p/m,2025 1 km Automaat Elektrisch,v.a. € 876 p/m,Van Poelgeest Woerden
BMW iX1,eDrive20,€ 47.900 v.a. € 423 p/m,2025 6.829 km Automaat Elektrisch,v.a. € 423 p/m,Van Poelgeest Heemstede
BMW 3 Serie Touring,318i High Executive Edition,€ 29.900 v.a. € 307 p/m,2021 82.287 km Automaat Benzine,v.a. € 307 p/m,Van Poelgeest Amsterdam
BMW X1,xDrive25e,€ 65.836 v.a. € 629 p/m,2025 1 km Automaat Hybride,v.a. € 629 p/m,Van Poelgeest Naarden
MINI Cooper 3-deurs,Cooper S Chili,,2019 45.950 km Automaat Benzine,,Van Poelgeest Woerden
MINI Cooper 3-deurs Electric,Cooper SE 54.2 kWh,€ 32.900 v.a. € 338 p/m,2024 14.500 km Automaat Elektrisch,v.a. € 338 p/m,Van Poelgeest Noordwijk
BMW 4 Serie Cabrio,420i M-Sport Pro,€ 74.900 v.a. € 769 p/m,2025 4.501 km Automaat Benzine,v.a. € 769 p/m,Van Poelgeest Heemstede
BMW 2 Serie Gran Coupé,220,€ 47.900 v.a. € 492 p/m,2025 4.999 km Automaat Benzine,v.a. € 492 p/m,Van Poelgeest Amsterdam
BMW 1 Serie,118i,€ 36.900 v.a. € 379 p/m,2024 6.784 km Automaat Benzine,v.a. € 379 p/m,Van Poelgeest Heemstede
Audi RS3 Sportback,2.5 TFSI Quattro,€ 74.900 v.a. € 947 p/m,2022 21.013 km Automaat Benzine,v.a. € 947 p/m,VP Cars Naarden
BMW XM,Label Red,€ 139.900 v.a. € 1436 p/m,2023 14.078 km Automaat Hybride,v.a. € 1436 p/m,Van Poelgeest Naarden - PS Center
BMW 1 Serie,120i Business Edition Model M Sport Individual,€ 35.995 v.a. € 369 p/m,2022 55.662 km Automaat Benzine,v.a. € 369 p/m,Van Poelgeest Gouda
BMW i4,eDrive40 M Sport Edition,€ 72.412 v.a. € 640 p/m,2025 1 km Automaat Elektrisch,v.a. € 640 p/m,Van Poelgeest Alphen aan den Rijn
Mini Aceman,E JCW John Cooper Works XL,€ 49.900 v.a. € 521 p/m,2025 3.600 km Automaat Elektrisch,v.a. € 521 p/m,Van Poelgeest Noordwijk
BMW X5,xDrive40i Innovationspakket M Sportpakket,,2020 52.500 km Automaat Benzine,,Van Poelgeest Alphen aan den Rijn
BMW i5 Sedan,eDrive40 Innovation Pack M Sportpakket,€ 63.895 v.a. € 564 p/m,2025 6.600 km Automaat Elektrisch,v.a. € 564 p/m,Van Poelgeest Gouda
BMW i4,M50 High Executive,€ 56.900 v.a. € 502 p/m,2023 13.049 km Automaat Elektrisch,v.a. € 502 p/m,Van Poelgeest Amstelveen
BMW X1,xDrive25e,€ 67.982 v.a. € 698 p/m,2025 1.182 km Automaat Hybride,v.a. € 698 p/m,Van Poelgeest Amstelveen
BMW i7,eDrive50 106 kWh,€ 85.900 v.a. € 759 p/m,2024 16.342 km Automaat Elektrisch,v.a. € 759 p/m,Van Poelgeest Naarden - PS Center
BMW 2 Serie Gran Coupé,220,€ 55.520 v.a. € 570 p/m,2025 1 km Automaat Benzine,v.a. € 570 p/m,Van Poelgeest Amersfoort
BMW X3,M50 xDrive Premium Pack M Sportpakket Pro,€ 89.995 v.a. € 924 p/m,2024 19.233 km Automaat Benzine,v.a. € 924 p/m,Van Poelgeest Alphen aan den Rijn
BMW iX,xDrive50 High Executive 112 kWh,€ 64.900 v.a. € 694 p/m,2022 68.552 km Automaat Elektrisch,v.a. € 694 p/m,Van Poelgeest Naarden - PS Center
BMW 2 Serie Gran Coupé,220 M Sport Design Edition,€ 57.795 v.a. € 593 p/m,2025 1 km Automaat Benzine,v.a. € 593 p/m,Van Poelgeest Gouda
BMW iX1,eDrive20 67 kWh M Sport Edition,€ 49.984 v.a. € 441 p/m,2025 1 km Automaat Elektrisch,v.a. € 441 p/m,Van Poelgeest Hilversum
BMW iX1,xDrive30,€ 47.900 v.a. € 423 p/m,2023 30.251 km Automaat Elektrisch,v.a. € 423 p/m,Van Poelgeest Amersfoort
BMW X6,xDrive40i High Executive,€ 82.500 v.a. € 1025 p/m,2022 82.032 km Automaat Benzine,v.a. € 1025 p/m,Van Poelgeest Amstelveen
BMW X3,xDrive30i High Executive Launch Edition,€ 38.900 v.a. € 399 p/m,2018 98.988 km Automaat Benzine,v.a. € 399 p/m,Van Poelgeest Woerden
MINI Cooper 3-deurs Electric,Cooper E Classic,€ 35.900 v.a. € 369 p/m,2024 22.600 km Automaat Elektrisch,v.a. € 369 p/m,Van Poelgeest Amstelveen
BMW i4,eDrive35 M Sport Edition 70 kWh,€ 45.900 v.a. € 406 p/m,2024 12.206 km Automaat Elektrisch,v.a. € 406 p/m,Van Poelgeest Naarden - PS Center
MINI Countryman Electric,E John Cooper Works M 66.5 kWh,€ 55.157 v.a. € 566 p/m,2025 12.000 km Automaat Elektrisch,v.a. € 566 p/m,Van Poelgeest Amstelveen
BMW 1 Serie,118i,€ 35.899 v.a. € 369 p/m,2024 9.506 km Automaat Benzine,v.a. € 369 p/m,Van Poelgeest Amsterdam
BMW X3,xDrive30e,€ 62.750 v.a. € 645 p/m,2024 32.709 km Automaat Hybride,v.a. € 645 p/m,Van Poelgeest Amersfoort
BMW i4,eDrive35 70 kWh,€ 46.750 v.a. € 413 p/m,2024 7.062 km Automaat Elektrisch,v.a. € 413 p/m,Van Poelgeest Noordwijk
BMW X3,30e xDrive,€ 85.634 v.a. € 818 p/m,2025 1 km Automaat Hybride,v.a. € 818 p/m,Van Poelgeest Amsterdam
BMW 2 Serie Active Tourer,220i,€ 46.900 v.a. € 482 p/m,2024 7.240 km Automaat Benzine,v.a. € 482 p/m,Van Poelgeest Heemstede
MINI Cooper 3-deurs,Cooper C,€ 34.900 v.a. € 359 p/m,2024 13.360 km Automaat Benzine,v.a. € 359 p/m,Van Poelgeest Amersfoort
BMW 5 Serie Touring,530e M Sportpakket Innovation Pack,€ 55.795 v.a. € 573 p/m,2024 24.148 km Automaat Hybride,v.a. € 573 p/m,Van Poelgeest Alphen aan den Rijn
BMW X2,sDrive20i High Executive Edition,€ 33.900 v.a. € 348 p/m,2020 54.994 km Automaat Benzine,v.a. € 348 p/m,Van Poelgeest Amsterdam
BMW iX2,eDrive20 67 kWh,€ 54.900 v.a. € 485 p/m,2024 17.700 km Automaat Elektrisch,v.a. € 485 p/m,Van Poelgeest Amstelveen
BMW 3 Serie Touring,318i Business Edition Plus,€ 32.500 v.a. € 404 p/m,2021 57.551 km Automaat Benzine,v.a. € 404 p/m,Van Poelgeest Amstelveen
BMW 3 Serie Touring,330e,€ 72.504 v.a. € 745 p/m,2025 9.999 km Automaat Hybride,v.a. € 745 p/m,Van Poelgeest Amsterdam
BMW 2 Serie Gran Coupé,218i,€ 38.900 v.a. € 399 p/m,2024 9.883 km Automaat Benzine,v.a. € 399 p/m,Van Poelgeest Amsterdam
BMW 3 Serie Touring,330e,€ 75.197 v.a. € 718 p/m,2025 1 km Automaat Hybride,v.a. € 718 p/m,Van Poelgeest Naarden
BMW iX1,eDrive20 67 kWh M Sport Edition,€ 49.984 v.a. € 441 p/m,2025 1 km Automaat Elektrisch,v.a. € 441 p/m,Van Poelgeest Woerden
BMW iX1,xDrive30 67 kWh,€ 54.900 v.a. € 485 p/m,2025 11.500 km Automaat Elektrisch,v.a. € 485 p/m,Van Poelgeest Noordwijk
BMW i4,eDrive35 M Sport Edition,€ 69.781 v.a. € 617 p/m,2025 1 km Automaat Elektrisch,v.a. € 617 p/m,Van Poelgeest Amsterdam
BMW iX1,eDrive20 67 kWh,€ 44.900 v.a. € 397 p/m,2024 20.990 km Automaat Elektrisch,v.a. € 397 p/m,Van Poelgeest Noordwijk
BMW iX3,Executive 80 kWh,€ 38.900 v.a. € 344 p/m,2021 68.521 km Automaat Elektrisch,v.a. € 344 p/m,Van Poelgeest Amsterdam
BMW i4,eDrive35 M Sport Edition,€ 69.781 v.a. € 617 p/m,2025 1 km Automaat Elektrisch,v.a. € 617 p/m,Van Poelgeest Heemstede
BMW iX3,High Executive 80 kWh,€ 56.900 v.a. € 502 p/m,2024 18.809 km Automaat Elektrisch,v.a. € 502 p/m,Van Poelgeest Amsterdam
BMW iX,xDrive45,€ 102.237 v.a. € 903 p/m,2025 1 km Automaat Elektrisch,v.a. € 903 p/m,Van Poelgeest Heemstede
BMW X3,20 xDrive,€ 87.900 v.a. € 902 p/m,2025 17.999 km Automaat Benzine,v.a. € 902 p/m,Van Poelgeest Amsterdam
BMW iX1,eDrive20,€ 63.946 v.a. € 564 p/m,2025 5.460 km Automaat Elektrisch,v.a. € 564 p/m,Van Poelgeest Amstelveen
BMW i5 Sedan,eDrive40 Innovation Pack M Sport Edition,€ 89.942 v.a. € 794 p/m,2025 11.000 km Automaat Elektrisch,v.a. € 794 p/m,Van Poelgeest Alphen aan den Rijn
BMW i4,eDrive35 M Sport Edition,€ 72.447 v.a. € 640 p/m,2025 1 km Automaat Elektrisch,v.a. € 640 p/m,Van Poelgeest Noordwijk
BMW 3 Serie Touring,318i,€ 68.923 v.a. € 707 p/m,2025 7.932 km Automaat Benzine,v.a. € 707 p/m,Van Poelgeest Amstelveen
MINI Aceman,E Favoured M,€ 41.490 v.a. € 366 p/m,2025 1 km Automaat Elektrisch,v.a. € 366 p/m,Van Poelgeest Amstelveen
BMW 1 Serie,118i,€ 34.900 v.a. € 359 p/m,2024 28.649 km Automaat Benzine,v.a. € 359 p/m,Van Poelgeest Heemstede
BMW 2 Serie Gran Coupé,220,€ 45.900 v.a. € 471 p/m,2025 9.999 km Automaat Benzine,v.a. € 471 p/m,Van Poelgeest Amersfoort
BMW 3 Serie Touring,318i,€ 54.900 v.a. € 564 p/m,2025 7.000 km Automaat Benzine,v.a. € 564 p/m,Van Poelgeest Amstelveen
MINI Cooper 5-deurs,S,€ 59.690 v.a. € 613 p/m,2025 4.999 km Automaat Benzine,v.a. € 613 p/m,Van Poelgeest Amsterdam
Mercedes-Benz GLE-klasse,450 4MATIC Premium Plus,€ 79.900 v.a. € 1010 p/m,2022 67.628 km Automaat Benzine,v.a. € 1010 p/m,VP Cars Naarden
BMW Z4,sDrive20i High Executive,€ 52.500 v.a. € 539 p/m,2023 28.063 km Automaat Benzine,v.a. € 539 p/m,Van Poelgeest Amstelveen
BMW X1,xDrive25e,€ 67.391 v.a. € 692 p/m,2025 4.999 km Automaat Hybride,v.a. € 692 p/m,Van Poelgeest Amsterdam
BMW X6,xDrive40i,€ 128.500 v.a. € 1319 p/m,2024 4.007 km Automaat Benzine,v.a. € 1319 p/m,Van Poelgeest Amstelveen
BMW i4,eDrive35 High Executive 70 kWh,€ 48.900 v.a. € 432 p/m,2024 13.862 km Automaat Elektrisch,v.a. € 432 p/m,Van Poelgeest Naarden - PS Center
BMW 3 Serie Touring,318i,€ 49.900 v.a. € 512 p/m,2025 8.214 km Automaat Benzine,v.a. € 512 p/m,Van Poelgeest Hilversum
BMW 4 Serie Cabrio,420i,€ 85.642 v.a. € 879 p/m,2025 1 km Automaat Benzine,v.a. € 879 p/m,Van Poelgeest Amersfoort
BMW 1 Serie,120 M Sport Design Edition,€ 50.212 v.a. € 516 p/m,2025 1 km Automaat Benzine,v.a. € 516 p/m,Van Poelgeest Naarden
BMW i3,120Ah 42 kWh,€ 25.900 v.a. € 229 p/m,2022 27.599 km Automaat Elektrisch,v.a. € 229 p/m,Van Poelgeest Amsterdam
BMW 4 Serie Coupé,420i,€ 80.985 v.a. € 831 p/m,2025 1 km Automaat Benzine,v.a. € 831 p/m,Van Poelgeest Hilversum
MINI Countryman Electric,E Favoured M,€ 54.157 v.a. € 479 p/m,2025 15 km Automaat Elektrisch,v.a. € 479 p/m,Van Poelgeest Amsterdam
BMW X2,sDrive20i,€ 70.819 v.a. € 727 p/m,2025 1 km Automaat Benzine,v.a. € 727 p/m,Van Poelgeest Naarden
BMW 5 Serie Sedan,530e M Sport Edition,€ 94.661 v.a. € 904 p/m,2025 1 km Automaat Hybride,v.a. € 904 p/m,Van Poelgeest Heemstede
BMW 1 Serie,M135 xDrive,€ 91.697 v.a. € 941 p/m,2025 1 km Automaat Benzine,v.a. € 941 p/m,Van Poelgeest Amersfoort
BMW X4,M40i High Executive,€ 89.900 v.a. € 1117 p/m,2023 20.581 km Automaat Benzine,v.a. € 1117 p/m,Van Poelgeest Amsterdam
BMW i5 Touring,M60 xDrive M Sportpakket Pro,€ 128.247 v.a. € 1133 p/m,2025 5 km Automaat Elektrisch,v.a. € 1133 p/m,Van Poelgeest Gouda
BMW iX2,eDrive20,€ 62.756 v.a. € 555 p/m,2025 4.999 km Automaat Elektrisch,v.a. € 555 p/m,Van Poelgeest Amsterdam
BMW X5 M,Competition,€ 266.497 v.a. € 2354 p/m,2025 1 km Automaat Benzine,v.a. € 2354 p/m,Van Poelgeest Amstelveen
MINI Countryman,C,€ 52.900 v.a. € 543 p/m,2024 17.906 km Automaat Benzine,v.a. € 543 p/m,Van Poelgeest Amersfoort
BMW 1 Serie,5-deurs 120i M Sportpakket Pro,€ 43.895 v.a. € 450 p/m,2024 7.283 km Automaat Benzine,v.a. € 450 p/m,Van Poelgeest Gouda
BMW XM,50e Individual,€ 146.045 v.a. € 1499 p/m,2025 7.500 km Automaat Hybride,v.a. € 1499 p/m,Van Poelgeest Woerden
BMW X2,xDrive25e High Executive,€ 32.900 v.a. € 338 p/m,2021 7.926 km Automaat Hybride,v.a. € 338 p/m,Van Poelgeest Amsterdam
BMW X1,sDrive18i,€ 58.500 v.a. € 601 p/m,2025 4.334 km Automaat Benzine,v.a. € 601 p/m,Van Poelgeest Amstelveen
BMW 2 Serie Gran Coupé,220,€ 53.224 v.a. € 546 p/m,2025 4.999 km Automaat Benzine,v.a. € 546 p/m,Van Poelgeest Amsterdam
BMW iX,xDrive M70,€ 142.617 v.a. € 1260 p/m,2025 1 km Automaat Elektrisch,v.a. € 1260 p/m,Van Poelgeest Woerden
BMW iX3,High Executive,€ 37.995 v.a. € 336 p/m,2021 71.366 km Automaat Elektrisch,v.a. € 336 p/m,Van Poelgeest Woerden
BMW 3 Serie Sedan,330e eDrive Edition,€ 35.900 v.a. € 369 p/m,2020 86.471 km Automaat Hybride,v.a. € 369 p/m,Van Poelgeest Amersfoort
BMW iX,xDrive M70,€ 148.415 v.a. € 1311 p/m,2025 1 km Automaat Elektrisch,v.a. € 1311 p/m,Van Poelgeest Amstelveen
BMW 2 Serie Gran Coupé,220,€ 57.795 v.a. € 593 p/m,2025 1 km Automaat Benzine,v.a. € 593 p/m,Van Poelgeest Naarden
BMW i5 Touring,M60 xDrive,€ 89.899 v.a. € 794 p/m,2024 4.734 km Automaat Elektrisch,v.a. € 794 p/m,Van Poelgeest Amsterdam
BMW 4 Serie Gran Coupé,420i,€ 83.791 v.a. € 860 p/m,2025 1 km Automaat Benzine,v.a. € 860 p/m,Van Poelgeest Noordwijk
BMW i4,eDrive40 High Executive 84 kWh,€ 53.900 v.a. € 476 p/m,2024 18.094 km Automaat Elektrisch,v.a. € 476 p/m,Van Poelgeest Amsterdam
BMW X3,xDrive30e M-Sport,€ 59.900 v.a. € 615 p/m,2024 24.573 km Automaat Hybride,v.a. € 615 p/m,Van Poelgeest Hilversum
MINI Countryman Electric,SE ALL4,€ 53.157 v.a. € 469 p/m,2025 500 km Automaat Elektrisch,v.a. € 469 p/m,Van Poelgeest Amsterdam
MINI Aceman,E,€ 38.450 v.a. € 395 p/m,2024 4.999 km Automaat Elektrisch,v.a. € 395 p/m,Van Poelgeest Amsterdam
BMW iX,M60 High Executive 112 kWh,€ 82.900 v.a. € 732 p/m,2024 23.369 km Automaat Elektrisch,v.a. € 732 p/m,Van Poelgeest Naarden - PS Center
BMW 3 Serie Touring,320e M Sportpakket Pro,€ 59.995 v.a. € 616 p/m,2024 29.000 km Automaat Hybride,v.a. € 616 p/m,Van Poelgeest Alphen aan den Rijn
BMW X1,xDrive25e,€ 62.900 v.a. € 645 p/m,2025 14.999 km Automaat Hybride,v.a. € 645 p/m,Van Poelgeest Amersfoort
MINI Cooper 5-deurs,C Favoured S,€ 42.900 v.a. € 440 p/m,2025 5.904 km Automaat Benzine,v.a. € 440 p/m,Van Poelgeest Naarden - PS Center
BMW 5 Serie Touring,530e xDrive Innovation Pack M Sportpakket Pro,€ 74.895 v.a. € 769 p/m,2024 23.721 km Automaat Hybride,v.a. € 769 p/m,Van Poelgeest Gouda
BMW 1 Serie,5-deurs M135 xDrive M Sportpakket Pro,€ 87.618 v.a. € 899 p/m,2025 5 km Automaat Benzine,v.a. € 899 p/m,Van Poelgeest Woerden
BMW X5,xDrive50e Innovation Pack M Sportpakket,€ 106.895 v.a. € 1098 p/m,2025 8.500 km Automaat Hybride,v.a. € 1098 p/m,Van Poelgeest Woerden
BMW 1 Serie,120,€ 45.900 v.a. € 471 p/m,2025 4.999 km Automaat Benzine,v.a. € 471 p/m,Van Poelgeest Amsterdam
BMW i4,eDrive40,€ 80.098 v.a. € 707 p/m,2025 4.999 km Automaat Elektrisch,v.a. € 707 p/m,Van Poelgeest Amsterdam
BMW X1,xDrive30e,€ 57.900 v.a. € 594 p/m,2024 25.628 km Automaat Hybride,v.a. € 594 p/m,Van Poelgeest Amersfoort
BMW i4,eDrive40 M Sport Edition,€ 72.271 v.a. € 638 p/m,2025 1 km Automaat Elektrisch,v.a. € 638 p/m,Van Poelgeest Amersfoort
MINI Aceman,E Favoured M,€ 41.490 v.a. € 366 p/m,2025 1 km Automaat Elektrisch,v.a. € 366 p/m,Van Poelgeest Amstelveen
BMW X5,xDrive50e,€ 109.900 v.a. € 1128 p/m,2025 24.821 km Automaat Hybride,v.a. € 1128 p/m,Van Poelgeest Amsterdam
BMW 3 Serie Touring,318i M-Sportpakket,€ 54.900 v.a. € 564 p/m,2025 8.957 km Automaat Benzine,v.a. € 564 p/m,Van Poelgeest Naarden - PS Center
BMW 2 Serie Active Tourer,225e xDrive Innovation Pack M Sportpakket,€ 42.995 v.a. € 441 p/m,2024 15.596 km Automaat Hybride,v.a. € 441 p/m,Van Poelgeest Woerden
BMW 2 Serie Active Tourer,218i,€ 45.900 v.a. € 471 p/m,2024 10.999 km Automaat Benzine,v.a. € 471 p/m,Van Poelgeest Amstelveen
BMW 3 Serie Sedan,318i,€ 39.900 v.a. € 410 p/m,2023 86.061 km Automaat Benzine,v.a. € 410 p/m,Van Poelgeest Naarden - PS Center
BMW 2 Serie Active Tourer,225e xDrive,€ 54.900 v.a. € 564 p/m,2025 15.846 km Automaat Hybride,v.a. € 564 p/m,Van Poelgeest Naarden - PS Center
BMW 5 Serie Sedan,550e xDrive,€ 87.900 v.a. € 902 p/m,2024 9.868 km Automaat Hybride,v.a. € 902 p/m,Van Poelgeest Heemstede
BMW i5 Touring,eDrive40 M Sport Edition,€ 85.707 v.a. € 757 p/m,2025 1 km Automaat Elektrisch,v.a. € 757 p/m,Van Poelgeest Amsterdam
BMW 5 Serie Sedan,530e M Sport Edition,€ 89.618 v.a. € 856 p/m,2025 1 km Automaat Hybride,v.a. € 856 p/m,Van Poelgeest Noordwijk
Land Rover Range Rover Sport,3.0 P510e First Edition,€ 102.900 v.a. € 1074 p/m,2023 68.085 km Automaat Hybride,v.a. € 1074 p/m,Van Poelgeest Heemstede
BMW 2 Serie Gran Coupé,220 M Sport Design Edition,€ 53.131 v.a. € 545 p/m,2025 1 km Automaat Benzine,v.a. € 545 p/m,Van Poelgeest Amsterdam
BMW X3,xDrive30e High Executive M-Sport,€ 62.900 v.a. € 645 p/m,2024 18.090 km Automaat Hybride,v.a. € 645 p/m,Van Poelgeest Hilversum
BMW X5,xDrive50e,€ 123.524 v.a. € 1269 p/m,2025 4.999 km Automaat Hybride,v.a. € 1269 p/m,Van Poelgeest Amsterdam
MINI Cooper 3-deurs Electric,E John Cooper Works,€ 39.895 v.a. € 410 p/m,2024 15.000 km Automaat Elektrisch,v.a. € 410 p/m,Van Poelgeest Alphen aan den Rijn
BMW 1 Serie,120 Premium Pack M Sportpakket Pro,€ 52.495 v.a. € 539 p/m,2025 13.500 km Automaat Benzine,v.a. € 539 p/m,Van Poelgeest Alphen aan den Rijn
BMW 2 Serie Gran Coupé,220,€ 45.900 v.a. € 471 p/m,2025 4.882 km Automaat Benzine,v.a. € 471 p/m,Van Poelgeest Amersfoort
BMW iX,xDrive50,€ 61.900 v.a. € 547 p/m,2022 40.350 km Automaat Elektrisch,v.a. € 547 p/m,Van Poelgeest Hilversum
BMW i5 Touring,eDrive40 M Sport Edition,€ 85.707 v.a. € 757 p/m,2025 1 km Automaat Elektrisch,v.a. € 757 p/m,Van Poelgeest Alphen aan den Rijn
BMW 5 Serie Touring,520i,€ 93.909 v.a. € 964 p/m,2025 1 km Automaat Benzine,v.a. € 964 p/m,Van Poelgeest Gouda
BMW i4,eDrive35 M Sport Edition,€ 69.781 v.a. € 617 p/m,2025 1 km Automaat Elektrisch,v.a. € 617 p/m,Van Poelgeest Noordwijk
BMW 5 Serie Touring,530e xDrive,€ 75.900 v.a. € 779 p/m,2024 5.810 km Automaat Hybride,v.a. € 779 p/m,Van Poelgeest Amstelveen
BMW iX1,eDrive20 Innovation Pack M Sportpakket Pro,€ 65.739 v.a. € 581 p/m,2025 10.500 km Automaat Elektrisch,v.a. € 581 p/m,Van Poelgeest Woerden
MINI Cooper 3-deurs Electric,Resolute Edition 33 kWh,€ 20.900 v.a. € 215 p/m,2022 31.500 km Automaat Elektrisch,v.a. € 215 p/m,Van Poelgeest Hilversum
BMW 2 Serie Gran Coupé,220,€ 55.886 v.a. € 574 p/m,2025 1 km Automaat Benzine,v.a. € 574 p/m,Van Poelgeest Amstelveen
BMW 2 Serie Gran Coupé,218i M Sport Edition,€ 28.900 v.a. € 297 p/m,2022 84.512 km Automaat Benzine,v.a. € 297 p/m,Van Poelgeest Amsterdam
BMW X1,sDrive18i,€ 46.900 v.a. € 482 p/m,2024 16.464 km Automaat Benzine,v.a. € 482 p/m,Van Poelgeest Amstelveen
BMW iX1,eDrive20 67 kWh M Sport Edition,€ 49.984 v.a. € 441 p/m,2025 1 km Automaat Elektrisch,v.a. € 441 p/m,Van Poelgeest Naarden
BMW 3 Serie Sedan,330e,€ 54.900 v.a. € 564 p/m,2025 6.382 km Automaat Hybride,v.a. € 564 p/m,Van Poelgeest Heemstede
BMW iX3,Executive 80 kWh,€ 59.900 v.a. € 529 p/m,2025 4.001 km Automaat Elektrisch,v.a. € 529 p/m,Van Poelgeest Heemstede
BMW iX1,eDrive20 Essential Edition,€ 48.803 v.a. € 431 p/m,2025 5.060 km Automaat Elektrisch,v.a. € 431 p/m,Van Poelgeest Amstelveen
BMW iX1,eDrive20 67 kWh,€ 42.900 v.a. € 379 p/m,2024 39.710 km Automaat Elektrisch,v.a. € 379 p/m,Van Poelgeest Noordwijk
BMW 5 Serie Sedan,530e M Sport Edition,€ 67.900 v.a. € 698 p/m,2024 23.679 km Automaat Hybride,v.a. € 698 p/m,Van Poelgeest Amstelveen
BMW 3 Serie Touring,330e,€ 59.900 v.a. € 615 p/m,2024 12.927 km Automaat Hybride,v.a. € 615 p/m,Van Poelgeest Amersfoort
